date,account_id,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,ad_type,device,spend,clicks,imps,conversions,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,_CN|STRANGEADVENTURE_BR|EXPEDITION_FF|WALLMART,WdqrRfjE6OxPxhj8FaTOVw==,Broad | adset 1,hciXX5R5KeNA8r24eZze1A==,,Expanded text ad,Mobile devices with full browsers,13.09,1,197,2,,,,,,,,,,,,
2021-10-03,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,_CN|FIRESHOW_BR|FIRE_FF|WALLMART,VTsjn6S0H+TyElwtpL4mpQ==,Broad | adset 2,jIs3JOubI4GY5TAFE/iqmg==,,Expanded text ad,Mobile devices with full browsers,7.78,1,183,0,,,,,,,,,,,,
2021-10-03,DLH2GuJt0uJopHspKxKPmg==,5sBpEPxhFpM3r9YFp+jRMw==,_CN|FIRESHOW_BR|FIRE_FF|WALLMART,apL4KKdaexR4N+/her73pg==,Broad | adset 3,VOrY2Y6ZrWgLe2fQ2ngU7Q==,,Expanded text ad,Mobile devices with full browsers,11.87,1,186,1,,,,,,,,,,,,
2021-10-03,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,_CN|CINEMA_BR|DOLBY_FF|WALLMART,34yhys44D78+unwde0GDpQ==,adset 4,QHlgnt4yUYebup82hgSBOQ==,,Expanded text ad,Mobile devices with full browsers,13.87,1,232,0,,,,,,,,,,,,
2021-10-03,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,_CN|CINEMA_BR|DOLBY_FF|WALLMART,34yhys44D78+unwde0GDpQ==,adset 4,QHlgnt4yUYebup82hgSBOQ==,,Expanded text ad,Mobile devices with full browsers,14.06,1,299,0,,,,,,,,,,,,
2021-10-03,mAm0RQx8X+Ik8LZcWCrRGw==,w6OZRofbxqN+dRzQXdBZyA==,_CN|CINEMA_BR|DOLBY_FF|WALLMART,HnkqcqBSCSIuRuNgFQ+c3A==,adset 5,eT0XqEP6O+VscwdAPJDWCg==,,Expanded text ad,Mobile devices with full browsers,40.82,3,18,1,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,_CN|STRANGEADVENTURE_BR|EXPEDITION_FF|WALLMART,WdqrRfjE6OxPxhj8FaTOVw==,Broad | adset 1,XO++0deJgsVjEYvgp3kmqg==,,Expanded text ad,Mobile devices with full browsers,0,7,148,0,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,_CN|STRANGEADVENTURE_BR|EXPEDITION_FF|WALLMART,WdqrRfjE6OxPxhj8FaTOVw==,Broad | adset 1,XO++0deJgsVjEYvgp3kmqg==,,Expanded text ad,Mobile devices with full browsers,0,8,89,2,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,_CN|STRANGEADVENTURE_BR|EXPEDITION_FF|WALLMART,WdqrRfjE6OxPxhj8FaTOVw==,Broad | adset 1,8029qFKKNE0U6woeCgajig==,,Expanded text ad,Mobile devices with full browsers,0,4,205,0,,,,,,,,,,,,
2021-10-03,KvHZHCUnRS1G2k25DBXWig==,0FQ1OC8NxA+PWYxF/oTl0A==,_CN|STRANGEADVENTURE_BR|EXPEDITION_FF|WALLMART,WdqrRfjE6OxPxhj8FaTOVw==,Broad | adset 1,hciXX5R5KeNA8r24eZze1A==,,Expanded text ad,Computers,13,7,133,0,,,,,,,,,,,,
